MSZoning,LotFrontage,LotArea,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,X1stFlrSF,X2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,PoolArea,PoolQC,Fence,MiscFeature,YrSold,SaleType,SalePrice
RL,59.0,9042,,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,2Story,6,5,1998,1998,Gable,VinylSd,VinylSd,None,0.0,Avg,Avg,PConc,AboveAvg,Avg,Gd,GLQ,828,Unf,115,943,GasA,AboveAvg,Y,SBrkr,943,695,1638,1,2,1,3,Avg,7,Typ,2,Avg,Attchd,1998.0,Fin,2,472,Avg,Avg,Y,100,38,0,,,,2008,WD,192000
RL,98.0,12203,,IR1,Lvl,Corner,Gtl,NoRidge,Norm,1Fam,2Story,8,5,1998,1999,Hip,VinylSd,VinylSd,BrkFace,975.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,854,Unf,371,1225,GasA,AboveAvg,Y,SBrkr,1276,1336,2612,1,2,1,4,AboveAvg,8,Typ,1,Avg,Attchd,1998.0,Fin,3,676,Avg,Avg,Y,250,0,0,,,,2009,WD,336000
RL,,57200,,IR1,Bnk,Inside,Sev,Timber,Norm,1Fam,1Story,5,5,1948,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,Avg,Avg,CBlock,Avg,Avg,Av,BLQ,353,Rec,60,747,GasA,Avg,Y,SBrkr,1687,0,1687,1,1,0,3,Avg,7,Min1,2,Avg,Detchd,1966.0,Unf,2,572,Avg,Avg,N,0,0,0,,,,2010,WD,160000
RL,,12546,,IR1,Lvl,Corner,Gtl,NWAmes,Norm,1Fam,1Story,6,7,1981,1981,Gable,MetalSd,MetalSd,BrkFace,310.0,AboveAvg,AboveAvg,CBlock,AboveAvg,Avg,No,BLQ,678,Unf,762,1440,GasA,AboveAvg,Y,SBrkr,1440,0,1440,0,2,0,3,AboveAvg,7,Typ,1,Avg,Attchd,1981.0,Fin,2,467,Avg,Avg,Y,0,0,0,,,,2007,WD,182900
RL,60.0,8172,,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,4,6,1954,1972,Gable,MetalSd,MetalSd,None,0.0,Avg,Avg,PConc,Avg,Avg,No,Unf,0,Unf,941,941,GasA,AboveAvg,Y,SBrkr,997,473,1470,0,2,0,4,Avg,7,Typ,0,,Detchd,1958.0,Unf,1,548,Avg,Avg,Y,0,0,0,,,,2008,WD,135000
FV,37.0,3316,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,TwnhsE,1Story,8,5,2005,2005,Gable,MetalSd,MetalSd,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,1039,Unf,208,1247,GasA,AboveAvg,Y,SBrkr,1247,0,1247,1,1,1,1,AboveAvg,4,Typ,1,AboveAvg,Attchd,2005.0,Fin,2,550,Avg,Avg,Y,0,84,0,,,,2006,WD,197000
RL,60.0,9600,,Reg,Lvl,Corner,Gtl,Edwards,Artery,1Fam,1.5Fin,6,5,1924,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,Avg,Avg,BrkTil,Avg,Avg,No,Unf,0,Unf,572,572,other,BelowAvg,N,FuseF,572,524,1096,0,1,0,2,Avg,5,Typ,0,,,,,0,0,,,N,0,8,0,,,,2008,WD,79000
RL,82.0,9020,,Reg,Lvl,Corner,Gtl,NAmes,Feedr,1Fam,SLvl,6,5,1964,1964,Gable,Plywood,Wd Sdng,BrkFace,259.0,Avg,Avg,CBlock,Avg,Avg,Gd,GLQ,624,Rec,288,1248,GasA,Avg,Y,SBrkr,1350,0,1350,1,1,1,3,Avg,6,Typ,0,,Attchd,1964.0,RFn,2,520,Avg,Avg,Y,176,0,0,,GdPrv,,2008,WD,168500
RM,90.0,8100,,Reg,Lvl,Corner,Gtl,OldTown,Norm,1Fam,2.5Unf,5,5,1898,1965,Hip,other,other,None,0.0,Avg,Avg,PConc,Avg,Avg,No,Unf,0,Unf,849,849,GasA,Avg,N,FuseA,1075,1063,2138,0,2,0,2,Avg,11,Typ,0,,Detchd,1910.0,Unf,2,360,BelowAvg,BelowAvg,N,40,156,0,,MnPrv,,2009,WD,106000
RL,36.0,2628,,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Twnhs,2Story,7,5,2003,2003,Gable,VinylSd,Wd Shng,Stone,106.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,764,764,GasA,AboveAvg,Y,SBrkr,764,862,1626,0,2,1,2,AboveAvg,6,Typ,0,,BuiltIn,2003.0,RFn,2,474,Avg,Avg,Y,0,27,0,,,,2010,WD,175500
RL,65.0,8944,,Reg,Lvl,Inside,Gtl,NAmes,Norm,Duplex,1Story,5,5,1967,1967,Gable,Plywood,Plywood,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,Unf,0,Unf,1584,1584,GasA,Avg,Y,SBrkr,1584,0,1584,0,2,0,4,Avg,8,Mod,0,,Detchd,1967.0,Unf,3,792,Avg,Avg,Y,0,152,0,,,,2009,WD,124000
RL,,8530,,IR1,Lvl,Inside,Gtl,Gilbert,Norm,1Fam,SLvl,7,5,1995,1996,Gable,HdBoard,HdBoard,BrkFace,22.0,Avg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,384,384,GasA,AboveAvg,Y,SBrkr,804,670,1474,0,2,1,3,Avg,7,Typ,1,Avg,BuiltIn,1995.0,Fin,2,400,Avg,Avg,Y,120,72,0,,,Shed,2009,WD,168500
RL,52.0,9022,,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,1Story,5,8,1924,2006,Gable,VinylSd,VinylSd,None,0.0,AboveAvg,Avg,BrkTil,Avg,Avg,No,Unf,0,Unf,768,768,GasA,AboveAvg,Y,SBrkr,792,0,792,0,1,0,2,AboveAvg,5,Typ,0,,Detchd,1924.0,Unf,1,240,BelowAvg,BelowAvg,N,316,0,0,,,,2009,WD,109500
RL,76.0,10142,,IR1,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,2Story,7,5,2004,2004,Gable,VinylSd,VinylSd,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,656,Unf,300,956,GasA,AboveAvg,Y,SBrkr,956,1128,2084,1,2,1,4,AboveAvg,8,Typ,0,,BuiltIn,2004.0,RFn,2,618,Avg,Avg,Y,0,45,0,,,,2010,WD,233000
RL,105.0,11249,,IR2,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,6,5,1995,1995,Gable,VinylSd,VinylSd,None,0.0,AboveAvg,AboveAvg,PConc,AboveAvg,AboveAvg,No,ALQ,334,BLQ,322,1200,GasA,AboveAvg,Y,SBrkr,1200,0,1200,1,2,0,3,AboveAvg,6,Typ,0,,Attchd,1995.0,RFn,2,521,Avg,Avg,Y,0,26,0,,,,2007,WD,177500
RM,60.0,10440,Grvl,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2Story,5,8,1904,2002,Gable,MetalSd,MetalSd,None,0.0,Avg,Avg,PConc,Avg,Avg,No,Unf,0,Unf,650,650,GasA,AboveAvg,Y,SBrkr,958,581,1539,0,2,0,3,AboveAvg,8,Typ,1,BelowAvg,Detchd,1983.0,Unf,2,686,AboveAvg,Avg,P,70,78,0,,,,2008,WD,157500
RL,,53227,,IR1,Low,CulDSac,Mod,ClearCr,Norm,1Fam,1Story,4,6,1954,1994,other,Plywood,Plywood,None,0.0,Avg,Avg,CBlock,AboveAvg,Avg,Gd,BLQ,1116,Unf,248,1364,GasA,AboveAvg,Y,SBrkr,1663,0,1663,1,1,0,2,AboveAvg,6,Min1,2,AboveAvg,Attchd,1954.0,Fin,2,529,Avg,Avg,Y,224,137,0,,,,2008,WD,256000
RL,94.0,13005,,IR1,Lvl,Corner,Gtl,NWAmes,Norm,1Fam,2Story,7,7,1980,1980,Gable,CemntBd,CmentBd,BrkFace,278.0,AboveAvg,Avg,CBlock,AboveAvg,Avg,No,GLQ,692,Unf,153,845,GasA,Avg,Y,SBrkr,1153,1200,2353,1,2,1,4,AboveAvg,10,Typ,1,Avg,Attchd,1983.0,RFn,2,484,Avg,Avg,Y,288,195,0,,GdPrv,,2009,WD,260000
RL,80.0,9828,,IR1,Lvl,Inside,Gtl,SawyerW,Norm,1Fam,2Story,8,5,1995,1995,Gable,VinylSd,VinylSd,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,584,Unf,544,1128,GasA,AboveAvg,Y,SBrkr,1142,878,2020,0,2,1,3,AboveAvg,8,Typ,1,Avg,Attchd,1995.0,RFn,2,466,Avg,Avg,Y,0,155,0,,,,2009,WD,239500
RL,55.0,10594,,Reg,Lvl,Inside,Gtl,Crawfor,Norm,1Fam,1.5Unf,5,5,1926,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,Avg,Avg,BrkTil,Avg,Avg,No,Unf,0,Unf,768,768,other,BelowAvg,N,SBrkr,789,0,789,0,1,0,2,Avg,5,Typ,0,,Detchd,1926.0,Unf,1,200,BelowAvg,BelowAvg,Y,0,0,0,,MnPrv,,2007,WD,96500
RL,93.0,9382,,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,1Fam,1Story,7,5,1999,2000,Gable,VinylSd,VinylSd,BrkFace,125.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,1468,1468,GasA,AboveAvg,Y,SBrkr,1479,0,1479,0,2,0,3,AboveAvg,6,Typ,0,,Attchd,1999.0,RFn,2,577,Avg,Avg,Y,120,25,0,,,,2008,WD,191000
RL,70.0,7700,,Reg,Lvl,Inside,Gtl,NAmes,PosN,1Fam,2Story,6,5,1966,1966,Gable,MetalSd,MetalSd,BrkFace,351.0,Avg,Avg,CBlock,Avg,Avg,No,Unf,0,Unf,756,756,GasA,Avg,Y,SBrkr,1051,788,1839,0,1,1,4,Avg,7,Typ,1,Avg,Attchd,1966.0,Unf,2,442,Avg,Avg,Y,0,124,0,,,,2010,WD,155000
RL,79.0,9236,,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,6,5,1997,1997,Gable,VinylSd,VinylSd,None,0.0,Avg,AboveAvg,PConc,AboveAvg,Avg,Gd,GLQ,1200,Unf,279,1479,GasA,AboveAvg,Y,SBrkr,1494,0,1494,1,2,0,3,AboveAvg,6,Typ,0,,Attchd,1997.0,RFn,2,576,Avg,Avg,Y,168,27,0,,,,2006,WD,217000
RL,,14364,,IR1,Low,Inside,Mod,SawyerW,Norm,1Fam,2Story,7,5,1988,1989,Gable,Plywood,Plywood,BrkFace,128.0,AboveAvg,Avg,CBlock,AboveAvg,Avg,Gd,GLQ,1065,Unf,92,1157,GasA,AboveAvg,Y,SBrkr,1180,882,2062,1,2,1,3,Avg,7,Typ,1,AboveAvg,Attchd,1988.0,Fin,2,454,Avg,Avg,Y,60,55,0,,,,2007,WD,277000
RL,80.0,10400,,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,7,6,1970,1970,Hip,Plywood,Plywood,BrkFace,288.0,Avg,Avg,PConc,Avg,Avg,No,Unf,0,Unf,1304,1304,GasA,AboveAvg,Y,SBrkr,1682,0,1682,0,2,0,3,Avg,7,Typ,1,AboveAvg,Attchd,1970.0,Unf,2,530,Avg,Avg,Y,98,0,0,,MnPrv,,2008,WD,174000
RL,,6853,,IR1,Lvl,Inside,Gtl,Timber,Norm,1Fam,1Story,8,5,2001,2002,Gable,VinylSd,VinylSd,BrkFace,136.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,1005,Unf,262,1267,GasA,AboveAvg,Y,SBrkr,1296,0,1296,1,2,0,2,AboveAvg,6,Typ,0,,Attchd,2001.0,Fin,2,471,Avg,Avg,Y,192,25,0,,,,2009,WD,220000
RL,,11616,,Reg,Lvl,Inside,Gtl,Sawyer,Norm,1Fam,1Story,5,5,1962,1962,Gable,Wd Sdng,Wd Sdng,BrkFace,116.0,Avg,Avg,CBlock,Avg,Avg,No,LwQ,170,BLQ,252,1092,GasA,Avg,Y,SBrkr,1092,0,1092,0,1,0,3,Avg,6,Typ,1,BelowAvg,Attchd,1962.0,Unf,1,288,Avg,Avg,Y,0,20,0,,,,2009,WD,139000
RL,,10530,,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,5,1971,1971,Hip,Plywood,Plywood,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,ALQ,282,LwQ,664,981,GasA,Avg,Y,SBrkr,981,0,981,1,1,1,3,Avg,5,Typ,0,,Detchd,1979.0,Unf,2,576,Avg,Avg,Y,0,312,0,,,,2007,WD,143250
RL,78.0,11700,,Reg,Lvl,Inside,Gtl,NWAmes,RR,1Fam,2Story,6,6,1968,1968,Gable,MetalSd,MetalSd,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,Rec,298,Unf,429,727,GasA,AboveAvg,Y,SBrkr,829,727,1556,0,1,1,4,Avg,8,Typ,0,,Attchd,1968.0,Unf,2,441,Avg,Avg,Y,0,0,0,,,,2009,WD,154000
RL,,16647,,IR1,Lvl,CulDSac,Gtl,Sawyer,RR,1Fam,SFoyer,5,5,1975,1981,Gable,HdBoard,HdBoard,None,0.0,Avg,Avg,CBlock,AboveAvg,Avg,Gd,ALQ,1390,Unf,0,1390,GasA,Avg,Y,SBrkr,1701,0,1701,1,2,0,3,Avg,6,Min2,2,Avg,Basment,1975.0,Fin,2,611,Avg,Avg,Y,0,0,0,,,,2007,WD,171000
RL,65.0,8775,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,5,5,1994,1994,Gable,VinylSd,VinylSd,None,0.0,Avg,Avg,PConc,AboveAvg,Avg,No,GLQ,495,Unf,495,990,GasA,AboveAvg,Y,SBrkr,990,0,990,0,1,0,3,Avg,5,Typ,0,,Attchd,1996.0,Unf,1,299,Avg,Avg,Y,0,64,0,,,,2007,WD,126000
RH,70.0,4270,,Reg,Bnk,Inside,Mod,Edwards,Norm,1Fam,1Story,3,6,1931,2006,Gable,MetalSd,MetalSd,None,0.0,Avg,Avg,BrkTil,Avg,Avg,No,Rec,544,Unf,0,544,GasA,AboveAvg,Y,SBrkr,774,0,774,0,1,0,3,AboveAvg,6,Typ,0,,,,,0,0,,,Y,0,0,0,,,,2007,WD,79000
RL,67.0,8777,,Reg,Lvl,Inside,Gtl,Edwards,Feedr,1Fam,1Story,4,5,1949,2003,Gable,VinylSd,VinylSd,None,0.0,Avg,Avg,CBlock,,,,,0,,0,0,GasA,AboveAvg,Y,SBrkr,1126,0,1126,0,2,0,2,AboveAvg,5,Typ,0,,Detchd,2002.0,Fin,2,520,Avg,Avg,N,0,96,0,,MnPrv,,2009,WD,108000
RL,78.0,10140,,Reg,Lvl,Inside,Gtl,NWAmes,Norm,1Fam,1Story,6,5,1974,1974,Hip,HdBoard,HdBoard,BrkFace,174.0,Avg,Avg,CBlock,AboveAvg,Avg,No,Unf,0,Unf,1064,1064,GasA,Avg,Y,SBrkr,1350,0,1350,0,2,0,3,Avg,7,Typ,1,Avg,Attchd,1974.0,RFn,2,478,Avg,Avg,Y,0,0,0,,MnPrv,,2009,WD,165000
RL,,9144,Pave,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,5,5,1940,1982,Gable,MetalSd,MetalSd,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,Rec,399,Unf,484,883,GasA,AboveAvg,Y,SBrkr,988,517,1505,1,1,0,3,Avg,8,Typ,0,,Detchd,1940.0,Unf,1,240,Avg,Avg,N,0,0,0,,,,2008,WD,145000
RL,70.0,8400,,Reg,Lvl,Inside,Gtl,NAmes,Feedr,1Fam,1Story,5,5,1968,1968,Hip,HdBoard,HdBoard,BrkFace,168.0,Avg,Avg,CBlock,Avg,Avg,Av,BLQ,1016,Unf,36,1052,GasA,AboveAvg,Y,SBrkr,1052,0,1052,1,1,1,3,Avg,5,Typ,0,,Attchd,1968.0,RFn,1,288,Avg,Avg,Y,356,0,0,,GdWo,,2006,WD,138500
RL,66.0,21780,,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1.5Fin,6,7,1918,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,Avg,Avg,BrkTil,AboveAvg,Avg,Mn,Unf,0,Unf,1163,1163,GasA,AboveAvg,Y,SBrkr,1163,511,1674,0,2,0,4,Avg,8,Typ,1,AboveAvg,Detchd,1955.0,Fin,2,396,Avg,Avg,N,72,36,0,,,,2008,WD,185000
RL,60.0,9900,,Reg,Lvl,Inside,Gtl,other,Norm,1Fam,1.5Fin,6,7,1940,1950,Gable,VinylSd,VinylSd,None,0.0,Avg,Avg,BrkTil,Avg,Avg,No,Unf,0,Unf,778,778,GasA,Avg,Y,SBrkr,944,545,1489,0,2,0,3,Avg,7,Typ,1,AboveAvg,Detchd,1940.0,Unf,1,240,Avg,Avg,Y,335,0,0,,GdWo,,2009,WD,139500
RL,,8750,,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,6,1970,1970,Gable,MetalSd,MetalSd,BrkFace,76.0,Avg,Avg,CBlock,Avg,Avg,No,BLQ,828,Unf,174,1002,GasA,Avg,Y,SBrkr,1002,0,1002,1,1,0,3,Avg,5,Typ,0,,Detchd,1973.0,Unf,2,902,Avg,Avg,Y,0,0,0,,MnPrv,,2009,WD,148500
RL,,11885,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,8,5,2001,2001,Gable,VinylSd,VinylSd,BrkFace,108.0,AboveAvg,Avg,PConc,AboveAvg,Avg,Av,GLQ,990,Unf,309,1299,GasA,AboveAvg,Y,SBrkr,1299,573,1872,1,2,1,3,AboveAvg,7,Typ,1,Avg,BuiltIn,2001.0,RFn,2,531,Avg,Avg,Y,160,122,0,,,,2009,WD,261500
RL,,14778,,IR1,Low,CulDSac,Gtl,Crawfor,PosN,1Fam,1Story,6,7,1954,2006,Hip,HdBoard,HdBoard,BrkFace,72.0,AboveAvg,Avg,CBlock,Avg,Avg,No,BLQ,728,Unf,568,1296,GasA,AboveAvg,Y,SBrkr,1640,0,1640,1,1,0,3,AboveAvg,7,Typ,1,AboveAvg,Detchd,1993.0,Unf,2,924,Avg,Avg,Y,108,0,0,,,,2008,WD,224000
RL,95.0,11345,,Reg,Lvl,Corner,Gtl,NAmes,Feedr,Duplex,2Story,5,5,1948,1950,Gable,other,other,Stone,567.0,Avg,Avg,CBlock,Avg,Avg,No,Rec,220,Unf,708,928,GasA,AboveAvg,Y,FuseA,928,992,1920,0,2,0,4,Avg,10,Typ,0,,Detchd,1948.0,Unf,2,400,Avg,BelowAvg,Y,0,0,0,,,,2007,WD,137000
RL,68.0,8935,,IR1,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,2Story,7,5,2002,2002,Gable,VinylSd,VinylSd,BrkFace,95.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,831,831,GasA,AboveAvg,Y,SBrkr,831,829,1660,0,2,1,3,AboveAvg,7,Typ,0,,Attchd,2002.0,RFn,2,493,Avg,Avg,Y,144,68,0,,,,2009,WD,195000
RL,,11214,,IR1,Lvl,Corner,Gtl,Gilbert,Norm,1Fam,2Story,7,5,1998,1999,Gable,VinylSd,VinylSd,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,930,930,GasA,AboveAvg,Y,SBrkr,956,930,1886,0,2,1,4,AboveAvg,10,Typ,1,Avg,Attchd,1998.0,Fin,2,431,Avg,Avg,Y,89,0,0,,,,2006,WD,199900
RM,50.0,6000,,Reg,Lvl,Inside,Gtl,BrkSide,Norm,1Fam,1.5Fin,4,6,1936,1950,Gable,MetalSd,MetalSd,None,0.0,Avg,Avg,BrkTil,Avg,Avg,No,BLQ,672,Unf,0,672,GasA,Avg,Y,SBrkr,757,567,1324,0,1,0,3,Avg,6,Typ,0,,Detchd,1936.0,Unf,1,240,Avg,Avg,Y,0,0,0,,,,2009,WD,128000
RL,42.0,14892,,IR1,HLS,CulDSac,Gtl,Gilbert,Norm,1Fam,1Story,9,5,2006,2007,Gable,VinylSd,VinylSd,Stone,160.0,AboveAvg,Avg,PConc,AboveAvg,Avg,Gd,GLQ,1320,Unf,426,1746,GasA,AboveAvg,Y,SBrkr,1746,0,1746,1,2,0,3,AboveAvg,7,Typ,2,AboveAvg,Attchd,2006.0,Fin,3,758,Avg,Avg,Y,201,39,0,,,,2009,WD,377500
RL,75.0,9937,,Reg,Lvl,Inside,Gtl,Edwards,Norm,1Fam,1Story,5,6,1965,1965,Gable,HdBoard,HdBoard,None,0.0,AboveAvg,Avg,CBlock,Avg,Avg,No,BLQ,830,LwQ,136,1256,GasA,AboveAvg,Y,SBrkr,1256,0,1256,1,1,1,3,Avg,6,Typ,0,,Attchd,1965.0,Fin,1,276,Avg,Avg,Y,736,68,0,,,,2008,WD,147500
RL,103.0,13125,,IR1,Lvl,Corner,Gtl,SawyerW,Norm,1Fam,2Story,7,5,1991,1991,Gable,HdBoard,HdBoard,None,0.0,AboveAvg,Avg,PConc,AboveAvg,Avg,Mn,BLQ,48,GLQ,422,1104,GasA,AboveAvg,Y,SBrkr,912,1215,2127,1,2,1,4,AboveAvg,8,Typ,1,Avg,Attchd,1991.0,RFn,3,833,Avg,Avg,Y,72,192,0,,GdPrv,,2007,WD,238000
RL,80.0,10000,,Reg,Lvl,Corner,Gtl,Sawyer,Feedr,1Fam,1Story,5,6,1961,1983,Hip,HdBoard,HdBoard,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,BLQ,594,Unf,270,864,GasA,AboveAvg,Y,SBrkr,1144,0,1144,1,1,0,3,Avg,6,Typ,1,Avg,Attchd,1961.0,RFn,1,264,Avg,Avg,Y,165,0,0,,GdWo,Shed,2009,WD,131400
RL,70.0,7910,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,SLvl,5,5,1960,1960,Hip,BrkFace,HdBoard,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,ALQ,666,Unf,409,1075,GasA,AboveAvg,Y,SBrkr,1507,0,1507,0,2,0,4,Avg,7,Maj1,0,,Basment,1960.0,Unf,1,404,Avg,Avg,Y,0,0,0,,GdWo,,2008,WD,127000
FV,24.0,2160,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Twnhs,2Story,7,5,1999,2000,Gable,MetalSd,MetalSd,BrkFace,212.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,BLQ,510,Unf,90,600,GasA,AboveAvg,Y,SBrkr,624,628,1252,1,2,1,2,AboveAvg,4,Typ,0,,Detchd,1999.0,Unf,2,462,Avg,Avg,Y,0,48,0,,,,2008,WD,160000
RL,,12342,,IR1,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1Story,5,5,1960,1978,Hip,Wd Sdng,Wd Sdng,None,0.0,Avg,Avg,CBlock,Avg,Avg,No,Unf,0,Unf,978,978,GasA,Avg,Y,SBrkr,1422,0,1422,0,1,0,3,Avg,6,Min1,1,Avg,Attchd,1960.0,RFn,1,286,Avg,Avg,Y,0,0,0,,GdWo,Shed,2007,WD,139900
RL,43.0,3182,,Reg,Lvl,Inside,Gtl,other,Norm,TwnhsE,1Story,8,5,2004,2005,Gable,VinylSd,VinylSd,BrkFace,16.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,GLQ,24,Unf,1232,1256,GasA,AboveAvg,Y,SBrkr,1269,0,1269,0,2,0,2,AboveAvg,6,Typ,1,Avg,Attchd,2004.0,Fin,2,430,Avg,Avg,Y,146,20,0,,,,2010,WD,192000
RL,87.0,11029,,IR1,Lvl,Corner,Gtl,NAmes,Norm,1Fam,1Story,6,8,1958,2002,Hip,MetalSd,MetalSd,None,0.0,AboveAvg,Avg,CBlock,AboveAvg,Avg,No,ALQ,528,BLQ,245,1184,GasA,AboveAvg,Y,SBrkr,1414,0,1414,1,1,0,3,Avg,6,Min1,1,Avg,Attchd,1990.0,Unf,2,601,Avg,Avg,Y,0,51,0,,,,2008,WD,176500
RL,,9505,,IR1,Lvl,CulDSac,Gtl,Gilbert,Norm,1Fam,2Story,7,5,2001,2001,Gable,VinylSd,VinylSd,BrkFace,180.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,884,884,GasA,AboveAvg,Y,SBrkr,884,1151,2035,0,2,1,3,AboveAvg,8,Typ,1,AboveAvg,BuiltIn,2001.0,Fin,2,434,Avg,Avg,Y,144,48,0,,,,2010,WD,222500
RL,80.0,9600,,Reg,Lvl,Inside,Gtl,NAmes,Norm,1Fam,1.5Fin,6,8,1950,2005,Gable,VinylSd,VinylSd,None,0.0,Avg,AboveAvg,CBlock,Avg,Avg,No,BLQ,120,Unf,736,856,GasA,AboveAvg,Y,SBrkr,1112,556,1668,0,1,1,3,Avg,6,Min2,0,,Attchd,1950.0,Unf,1,271,Avg,Avg,Y,0,0,0,,MnPrv,,2009,WD,140000
RL,,9180,,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,HdBoard,HdBoard,None,0.0,Avg,Avg,CBlock,AboveAvg,Avg,Av,ALQ,747,LwQ,0,840,GasA,AboveAvg,Y,SBrkr,884,0,884,1,1,0,2,AboveAvg,5,Typ,0,,Attchd,1983.0,RFn,2,504,Avg,AboveAvg,Y,240,0,0,,MnPrv,,2007,WD,144000
RM,87.0,18386,,Reg,Lvl,Inside,Gtl,OldTown,Norm,1Fam,2.5Fin,7,9,1880,2002,Gable,CemntBd,CmentBd,None,0.0,Avg,Avg,BrkTil,Avg,Avg,No,Unf,0,Unf,1470,1470,GasA,AboveAvg,Y,SBrkr,1675,1818,3493,0,3,0,3,AboveAvg,10,Typ,1,AboveAvg,Attchd,2003.0,Unf,3,870,Avg,Avg,Y,302,0,0,,,,2008,WD,295000
RL,60.0,11664,,Reg,Lvl,Inside,Gtl,NAmes,Artery,1Fam,1Story,6,5,1948,1950,Gable,MetalSd,MetalSd,BrkFace,206.0,Avg,Avg,CBlock,Avg,BelowAvg,No,BLQ,336,Unf,746,1082,GasA,Avg,Y,SBrkr,1082,0,1082,0,1,0,2,Avg,5,Typ,1,AboveAvg,Detchd,1948.0,Unf,1,240,Avg,Avg,Y,0,130,0,,,,2007,WD,119200
RL,,16381,,IR1,Lvl,Inside,Gtl,Crawfor,Norm,1Fam,1Story,6,5,1969,1969,Gable,Plywood,Plywood,BrkFace,312.0,AboveAvg,AboveAvg,CBlock,Avg,Avg,Av,Rec,1110,Unf,734,1844,GasA,AboveAvg,Y,SBrkr,1844,0,1844,1,2,0,3,AboveAvg,7,Typ,1,Avg,Attchd,1969.0,RFn,2,540,Avg,Avg,Y,0,73,0,,,,2006,WD,223000
RL,75.0,9742,,Reg,Lvl,Inside,Gtl,CollgCr,Norm,1Fam,1Story,8,5,2002,2002,Hip,VinylSd,VinylSd,BrkFace,281.0,AboveAvg,Avg,PConc,AboveAvg,Avg,No,Unf,0,Unf,1777,1777,GasA,AboveAvg,Y,SBrkr,1795,0,1795,0,2,0,3,AboveAvg,7,Typ,1,AboveAvg,Attchd,2002.0,RFn,2,534,Avg,Avg,Y,171,159,0,,,,2008,WD,230000
